PID;product_name;default_size;shop
1;Berliner;1;denner
5;Croissant;1;denner
6;D-Eier Import Boden.;15;denner
7;D-Joghurt Heidelbeer;0,2;denner
8;D-Joghurt Kirsche;0,2;denner
9;D-Joghurt Vanilie;0,2;denner
10;D-Müesli Traube-Nuss;1;denner
11;D-Nusskernmischung unge;0,2;denner
12;D-Passata di pomod let;0,5;denner
13;D-Rinds-Hackfleisch;0,5;denner
14;D-Schokolade Nuss;0,1;denner
15;D-Tomme suisse Rund;0,1;denner
16;D-Vollmilch Past;1;denner
17;Danner Rapsöl;1;denner
18;Denner Bananen Ofenverka;1;denner
19;Denner Edamer Scheiben;0,25;denner
20;Denner Gouda in Scheibe;0,25;denner
21;Denner Hackfle gemischt;0,5;denner
22;Denner Hörnli;1;denner
23;Denner Kaisergemüse;0,75;denner
24;Denner Norweg Portionen;0,25;denner
25;Denner Orangensaft;1,5;denner
26;Denner Oregano;12;denner
27;Denner Reis perboiled;1;denner
28;Denner Tomatenpüree;0,2;denner
29;Ecoma Toilettenpapi;20;denner
30;Flachpfirsiche;0,5;denner
31;Forellenfilets geräuehert;125;denner
32;Gebührensack Stedt Bern 17l;10;denner
33;Gurken;1;denner
34;Henry Lambertz Best Se;1;denner
35;IP-Suisse Krustenbrot;0,5;denner
36;IP-Suisse Lauge mit Salz;1;denner
37;IP-Suisse Zwiebeln Offen kg;1;denner
38;LaMole Sfornatini Rosma;1;denner
39;Lenor Goldene Orchide;0,12;denner
40;Mulino Bianco Molinett;1;denner
41;Pain mit IP-Suisse Mehl;0,5;denner
42;Pistazien;1;denner
43;Rispentomaten Offenverka kg;1;denner
44;Rustico Giofel mit IPS;1;denner
45;Schoggigipfeli;1;denner
46;Schweins-Voressen;0,5;denner
47;Skandin Rauchlachs ASC;0,15;denner
48;Thai Kitch. Ge. Curry Pa.;225;denner
49;Tomaten Netz;1;denner
50;ASC Lachsabschnitte geräuchert;0,2;lidl
51;Bio Karottensaft;1,0;lidl
52;Butte mit IP-Suisse Mehl;0,053;denner
53;Calif. Walnusskernhälfte;0,2;lidl
54;D-Vollmilch Past 3,5%;1,0;denner
55;Delikatess Nierstückbraten;0,15;lidl
56;French Croissant;1,0;lidl
57;Fruchtjoghurt Heidelbeer;0,2;lidl
58;Fruchtaufstrich Schwarzkirsche;0,24;lidl
59;Hackfleisch gemischt;0,5;lidl
60;Mulino Bianco Molinetti;1,0;denner
61;Nuts Royal;0,2;lidl
62;Parboiled Spitzenreis;1,0;lidl
63;Pfirsiche;0,5;lidl
64;Rinderhackfleisch;0,5;lidl
65;Ruchbrot;0,5;lidl
66;Schweineragout;0,5;lidl
67;Schweinsnierstück-Steak;0,4;lidl
68;Skandin Rauchlachs, ASC;0,15;lidl
69;Steinofenpizza Schinken;2;lidl
70;TN Gemischter Blattsalat;0,25;lidl
71;TN Mischsalat;0,5;lidl
72;Vanillejoghurt;0,2;lidl
73;Vollmilch 3,5%;1,0;lidl
